name,description,styleUrl,icon-opacity,icon-color,icon-scale,icon,Código_CNES,Cod_IBGE,Município,Região_da,CRS,Logradouro,Número_do,Bairro,Latitude,Longitude,M_IPH_UFRGS
IRMANDADADE DA S CASA DE MISERICORDIA DE SV PALMAR,"{""@type"":""html"",""value"":""Código_CNES: 2233398<br>Cod_IBGE: 4317301<br>Município: Santa Vitoria do Palmar<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: DOUTOR ALIPIO SANTIAGO CORREA<br>Número_do: 55<br>Bairro: CENTRO<br>Latitude: -33.524364<br>Longitude: -53.372112<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2233398.0,4317301.0,Santa Vitoria do Palmar,21.0,03 CRS,DOUTOR ALIPIO SANTIAGO CORREA,55.0,CENTRO,-33.524364,-53.372112,Nao
SANTA CASA DE CARIDADE DE JAGUARAO,"{""@type"":""html"",""value"":""Código_CNES: 2233401<br>Cod_IBGE: 4311007<br>Município: Jaguarao<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: PRACA DR HERMES PINTO AFONSO<br>Número_do: 0<br>Bairro: CENTRO<br>Latitude: -32.564111<br>Longitude: -53.371006<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2233401.0,4311007.0,Jaguarao,21.0,03 CRS,PRACA DR HERMES PINTO AFONSO,0.0,CENTRO,-32.564111,-53.371006,Nao
SANTA CASA DE MISERICORDIA DE ARROIO GRANDE,"{""@type"":""html"",""value"":""Código_CNES: 2233428<br>Cod_IBGE: 4301305<br>Município: Arroio Grande<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA DR MONTEIRO<br>Número_do: 1164<br>Bairro: CENTRO<br>Latitude: -32.23105<br>Longitude: -53.08403<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2233428.0,4301305.0,Arroio Grande,21.0,03 CRS,RUA DR MONTEIRO,1164.0,CENTRO,-32.23105,-53.08403,Nao
ASSOCIACAO DE CARIDADE SANTA CASA DO RIO GRANDE,"{""@type"":""html"",""value"":""Código_CNES: 9926046<br>Cod_IBGE: 4315602<br>Município: Rio Grande<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: AV PRESIDENTE VARGAS<br>Número_do: 334<br>Bairro: VILA SAO PAULO<br>Latitude: -32.0463581<br>Longitude: -52.1100623<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,9926046.0,4315602.0,Rio Grande,21.0,03 CRS,AV PRESIDENTE VARGAS,334.0,VILA SAO PAULO,-32.0463581,-52.1100623,Nao
HOSPITAL PSIQUIATRICO VICENCA MARIA DA FONTOURA LOPES,"{""@type"":""html"",""value"":""Código_CNES: 2707640<br>Cod_IBGE: 4315602<br>Município: Rio Grande<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: AV PORTUGAL<br>Número_do: 352<br>Bairro: CIDADE NOVA<br>Latitude: -32.036<br>Longitude: -52.116219<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2707640.0,4315602.0,Rio Grande,21.0,03 CRS,AV PORTUGAL,352.0,CIDADE NOVA,-32.036,-52.116219,Nao
ASSOCIACAO DE CARIDADE SANTA CASA DO RIO GRANDE,"{""@type"":""html"",""value"":""Código_CNES: 2232995<br>Cod_IBGE: 4315602<br>Município: Rio Grande<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA GENERAL OSORIO<br>Número_do: 625<br>Bairro: CENTRO<br>Latitude: -32.030679<br>Longitude: -52.10255<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2232995.0,4315602.0,Rio Grande,21.0,03 CRS,RUA GENERAL OSORIO,625.0,CENTRO,-32.030679,-52.10255,Nao
LIGA DE ASSISTENCIA SOCIAL HOSPITAL NOSSA SENHORA DA GLORIA,"{""@type"":""html"",""value"":""Código_CNES: 2233436<br>Cod_IBGE: 4307104<br>Município: Herval<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: AVENIDA GETULIO VARGAS<br>Número_do: 427<br>Bairro: CENTRO<br>Latitude: -32.029879<br>Longitude: -53.392129<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2233436.0,4307104.0,Herval,21.0,03 CRS,AVENIDA GETULIO VARGAS,427.0,CENTRO,-32.029879,-53.392129,Nao
FUNDACAO DE APOIO HOSPITAL ENSINO RIO GRANDE,"{""@type"":""html"",""value"":""Código_CNES: 2707675<br>Cod_IBGE: 4315602<br>Município: Rio Grande<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA VISCONDE DE PARANAGUA<br>Número_do: 102<br>Bairro: CENTRO<br>Latitude: -32.029107<br>Longitude: -52.102826<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2707675.0,4315602.0,Rio Grande,21.0,03 CRS,RUA VISCONDE DE PARANAGUA,102.0,CENTRO,-32.029107,-52.102826,Nao
PREFEITURA MUNICIPAL DE SAO JOSE DO NORTE,"{""@type"":""html"",""value"":""Código_CNES: 2233355<br>Cod_IBGE: 4318507<br>Município: Sao Jose do Norte<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA DR EDGARDO PEREIRA VELHO<br>Número_do: 286<br>Bairro: CENTRO<br>Latitude: -32.009654<br>Longitude: -52.041029<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2233355.0,4318507.0,Sao Jose do Norte,21.0,03 CRS,RUA DR EDGARDO PEREIRA VELHO,286.0,CENTRO,-32.009654,-52.041029,Nao
SANTA CASA DE MISERICORDIA DE PEDRO OSORIO,"{""@type"":""html"",""value"":""Código_CNES: 2233339<br>Cod_IBGE: 4314209<br>Município: Pedro Osorio<br>Região_da: 21<br>CRS: 03 CRS<br>Logradouro: RUA ARZELINDO FERREIRA<br>Número_do: 33<br>Bairro: CENTRO<br>Latitude: -31.864258<br>Longitude: -52.823122<br>M_IPH_UFRGS: Nao""}",#icon-1807-01579B,1,#01579b,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2233339.0,4314209.0,Pedro Osorio,21.0,03 CRS,RUA ARZELINDO FERREIRA,33.0,CENTRO,-31.864258,-52.823122,Nao
