name,description,styleUrl,icon-opacity,icon-color,icon-scale,icon,COORDENADAS,BRBM,MUNICÍPIO,SITUAÇÃO,INFORMAÇÕES,OK BRBM,CAMINHÕES,VEÍCULO DE EMERGÊNCIA,VEICULOS LEVES,/,AJUDA HUMANITÁRIA,icon-offset,icon-offset-units
"ERS 126, km 04","{""@type"":""html"",""value"":""COORDENADAS: -27.486045,-51.904396<br>BRBM: 1º<br>MUNICÍPIO: Marcelino Ramos<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 02/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-27.486045,-51.904396",1º,Marcelino Ramos,Liberado,,TRUE,TRUE,TRUE,TRUE,02/05/2024,TRUE,,
"ERS 126, km 05","{""@type"":""html"",""value"":""COORDENADAS: -27.496281111168994, -51.904114915345<br>BRBM: 1º<br>MUNICÍPIO: Marcelino Ramos<br>SITUAÇÃO: Bloqueio Parcial<br>INFORMAÇÕES: Queda de barreira<br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 06/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-27.496281111168994, -51.904114915345",1º,Marcelino Ramos,Bloqueio Parcial,Queda de barreira,TRUE,TRUE,TRUE,TRUE,06/05/2024,TRUE,"[32,64]","[""pixels"",""insetPixels""]"
"ERS 126, km 08","{""@type"":""html"",""value"":""COORDENADAS: -27.547674, -51.899519<br>BRBM: 1º<br>MUNICÍPIO: Marcelino Ramos<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 04/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-27.547674, -51.899519",1º,Marcelino Ramos,Liberado,,TRUE,TRUE,TRUE,TRUE,04/05/2024,TRUE,,
"ERS 129, km 142","{""@type"":""html"",""value"":""COORDENADAS: -28.740329, -51.929557<br>BRBM: 1º<br>MUNICÍPIO: Serafina Correa<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 01/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-28.740329, -51.929557",1º,Serafina Correa,Liberado,,TRUE,TRUE,TRUE,TRUE,01/05/2024,TRUE,,
"ERS 165, km 08","{""@type"":""html"",""value"":""COORDENADAS: -28.372554297094066, -54.87735093342502<br>BRBM: 1º<br>MUNICÍPIO: Sao Luiz Gonzaga<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 02/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-28.372554297094066, -54.87735093342502",1º,Sao Luiz Gonzaga,Liberado,,TRUE,TRUE,TRUE,TRUE,02/05/2024,TRUE,,
"ERS 211, km 40","{""@type"":""html"",""value"":""COORDENADAS: -27.722449, -52.487762<br>BRBM: 1º<br>MUNICÍPIO: Jacutinga<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 02/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-27.722449, -52.487762",1º,Jacutinga,Liberado,,TRUE,TRUE,TRUE,TRUE,02/05/2024,TRUE,,
"ERS 305, km 09","{""@type"":""html"",""value"":""COORDENADAS: -27.677169075307354, -54.46547756441791<br>BRBM: 1º<br>MUNICÍPIO: Tuparendi<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 03/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-27.677169075307354, -54.46547756441791",1º,Tuparendi,Liberado,,TRUE,TRUE,TRUE,TRUE,03/05/2024,TRUE,,
"ERS 305, km 47","{""@type"":""html"",""value"":""COORDENADAS: -27.522031, -54.233109<br>BRBM: 1º<br>MUNICÍPIO: Horizontina<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 03/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-27.522031, -54.233109",1º,Horizontina,Liberado,,TRUE,TRUE,TRUE,TRUE,03/05/2024,TRUE,,
"ERS 324, km 208","{""@type"":""html"",""value"":""COORDENADAS: -28.404425,-52.233167<br>BRBM: 1º<br>MUNICÍPIO: Marau<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES:  <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 09/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-28.404425,-52.233167",1º,Marau,Liberado, ,TRUE,TRUE,TRUE,TRUE,09/05/2024,TRUE,,
"ERS 332, km143","{""@type"":""html"",""value"":""COORDENADAS: -28.720444, -52.850722<br>BRBM: 1º<br>MUNICÍPIO: Tapera<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 02/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-28.720444, -52.850722",1º,Tapera,Liberado,,TRUE,TRUE,TRUE,TRUE,02/05/2024,TRUE,,
